,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,song_title
12,0.675,0.597,-11.329,0.0337,0.0534,0.0,0.0986,0.828,108.875,161160,4,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,audio_features,2eF8pWbiivYsYRpbntYsnc,spotify:track:2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc,161160,4,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)"
13,0.588,0.576,-6.945,0.0367,0.218,0.0357,0.172,0.66,129.155,436840,0,0.588,0.576,6,-6.945,0,0.0367,0.218,0.0357,0.172,0.66,129.155,audio_features,7DFA3k0QQtvAkItuNAwKh4,spotify:track:7DFA3k0QQtvAkItuNAwKh4,https://api.spotify.com/v1/tracks/7DFA3k0QQtvAkItuNAwKh4,https://api.spotify.com/v1/audio-analysis/7DFA3k0QQtvAkItuNAwKh4,436840,4,Monophonics,Last One Standing
14,0.61,0.564,-6.086,0.0258,0.147,0.00109,0.155,0.551,80.734,218409,1,0.61,0.564,5,-6.086,0,0.0258,0.147,0.00109,0.155,0.551,80.734,audio_features,6HwVmEL610Sd9QtZ96Ysmr,spotify:track:6HwVmEL610Sd9QtZ96Ysmr,https://api.spotify.com/v1/tracks/6HwVmEL610Sd9QtZ96Ysmr,https://api.spotify.com/v1/audio-analysis/6HwVmEL610Sd9QtZ96Ysmr,218409,4,Lady Wray,Come On In
15,0.595,0.379,-12.058,0.0454,0.271,2.81e-05,0.1,0.448,92.006,279333,2,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,audio_features,7MF7QAodbGzNYav5ZfIhAY,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/tracks/7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333,4,Gladys Knight & The Pips,Midnight Train to Georgia
16,0.67,0.596,-9.347,0.0627,0.852,0.00203,0.653,0.813,133.396,165760,5,0.67,0.596,3,-9.347,1,0.0627,0.852,0.00203,0.653,0.813,133.396,audio_features,0DICNd5XQ1og9UeYzxoNFV,spotify:track:0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/tracks/0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/audio-analysis/0DICNd5XQ1og9UeYzxoNFV,165760,4,Dinah Washington,Baby (You've Got What It Takes)
17,0.667,0.599,-8.894,0.0291,0.245,0.0,0.107,0.971,127.935,160280,4,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,audio_features,6b6IMqP565TbtFFZg9iFf3,spotify:track:6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/tracks/6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/audio-analysis/6b6IMqP565TbtFFZg9iFf3,160280,4,Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
18,0.684,0.482,-9.234,0.0371,0.778,0.000351,0.148,0.749,123.532,178373,2,0.684,0.482,5,-9.234,1,0.0371,0.778,0.000351,0.148,0.749,123.532,audio_features,7F1eoVZd2ySSJ70iP3PN1m,spotify:track:7F1eoVZd2ySSJ70iP3PN1m,https://api.spotify.com/v1/tracks/7F1eoVZd2ySSJ70iP3PN1m,https://api.spotify.com/v1/audio-analysis/7F1eoVZd2ySSJ70iP3PN1m,178373,4,Jackie Wilson,I Get The Sweetest Feeling
19,0.84,0.405,-11.72,0.161,0.343,0.0236,0.111,0.823,90.038,170040,4,0.84,0.405,10,-11.72,0,0.161,0.343,0.0236,0.111,0.823,90.038,audio_features,5xJ2iRDQ7jKJl2DLsYJPYD,spotify:track:5xJ2iRDQ7jKJl2DLsYJPYD,https://api.spotify.com/v1/tracks/5xJ2iRDQ7jKJl2DLsYJPYD,https://api.spotify.com/v1/audio-analysis/5xJ2iRDQ7jKJl2DLsYJPYD,170040,4,Swamp Dogg,"Good, Better, Best"
20,0.603,0.271,-10.083,0.0284,0.679,0.0,0.141,0.405,110.89,165333,2,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,audio_features,5K09WxKdlkroDyEVyOSySy,spotify:track:5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/audio-analysis/5K09WxKdlkroDyEVyOSySy,165333,3,Aretha Franklin,(You Make Me Feel Like) A Natural Woman
21,0.49,0.569,-8.401,0.246,0.287,0.0,0.365,0.43,147.369,229600,3,0.49,0.569,1,-8.401,1,0.246,0.287,0.0,0.365,0.43,147.369,audio_features,5N7s7nhywtONPI5FJhabAP,spotify:track:5N7s7nhywtONPI5FJhabAP,https://api.spotify.com/v1/tracks/5N7s7nhywtONPI5FJhabAP,https://api.spotify.com/v1/audio-analysis/5N7s7nhywtONPI5FJhabAP,229600,3,The Main Squeeze,Sunday Morning
22,0.63,0.711,-9.34,0.0472,0.299,0.0,0.0813,0.659,96.912,167933,4,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,audio_features,1OppEieGNdItZbE14gLBEv,spotify:track:1OppEieGNdItZbE14gLBEv,https://api.spotify.com/v1/tracks/1OppEieGNdItZbE14gLBEv,https://api.spotify.com/v1/audio-analysis/1OppEieGNdItZbE14gLBEv,167933,4,The Supremes,You Can't Hurry Love
23,0.789,0.38,-10.662,0.0362,0.358,0.0207,0.0928,0.702,92.028,158855,1,0.789,0.38,1,-10.662,1,0.0362,0.358,0.0207,0.0928,0.702,92.028,audio_features,7t7VTdIZS01AfR2w2SHb17,spotify:track:7t7VTdIZS01AfR2w2SHb17,https://api.spotify.com/v1/tracks/7t7VTdIZS01AfR2w2SHb17,https://api.spotify.com/v1/audio-analysis/7t7VTdIZS01AfR2w2SHb17,158855,4,Jonny P,Good To You
24,0.607,0.629,-10.509,0.0406,0.375,0.0806,0.0844,0.688,101.974,254722,4,0.607,0.629,2,-10.509,1,0.0406,0.375,0.0806,0.0844,0.688,101.974,audio_features,6KNV6L3b7beomEUnzWgw0X,spotify:track:6KNV6L3b7beomEUnzWgw0X,https://api.spotify.com/v1/tracks/6KNV6L3b7beomEUnzWgw0X,https://api.spotify.com/v1/audio-analysis/6KNV6L3b7beomEUnzWgw0X,254722,4,Durand Jones & The Indications,Ride or Die
25,0.663,0.6,-10.87,0.032,0.43,0.0,0.184,0.8,129.991,151667,4,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,audio_features,7tqhbajSfrz2F7E1Z75ASX,spotify:track:7tqhbajSfrz2F7E1Z75ASX,https://api.spotify.com/v1/tracks/7tqhbajSfrz2F7E1Z75ASX,https://api.spotify.com/v1/audio-analysis/7tqhbajSfrz2F7E1Z75ASX,151667,4,Marvin Gaye,Ain't No Mountain High Enough
26,0.664,0.586,-7.985,0.0283,0.334,2.96e-06,0.16,0.727,102.991,174520,4,0.664,0.586,4,-7.985,0,0.0283,0.334,2.96e-06,0.16,0.727,102.991,audio_features,4k6WZXbHUFEZR02X9FhOuT,spotify:track:4k6WZXbHUFEZR02X9FhOuT,https://api.spotify.com/v1/tracks/4k6WZXbHUFEZR02X9FhOuT,https://api.spotify.com/v1/audio-analysis/4k6WZXbHUFEZR02X9FhOuT,174520,4,The Dip,Sure Don't Miss You
27,0.674,0.909,-3.369,0.0464,0.469,0.0131,0.105,0.969,103.942,243760,4,0.674,0.909,10,-3.369,0,0.0464,0.469,0.0131,0.105,0.969,103.942,audio_features,113bLFbp3F9MVN0w2KJ1ma,spotify:track:113bLFbp3F9MVN0w2KJ1ma,https://api.spotify.com/v1/tracks/113bLFbp3F9MVN0w2KJ1ma,https://api.spotify.com/v1/audio-analysis/113bLFbp3F9MVN0w2KJ1ma,243760,4,Sharon Jones & The Dap-Kings,How Long Do I Have to Wait for You?
28,0.632,0.59,-10.206,0.0305,0.346,0.0,0.24,0.953,130.287,172733,4,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,audio_features,5c33j1xFVOL4G24zxYhssB,spotify:track:5c33j1xFVOL4G24zxYhssB,https://api.spotify.com/v1/tracks/5c33j1xFVOL4G24zxYhssB,https://api.spotify.com/v1/audio-analysis/5c33j1xFVOL4G24zxYhssB,172733,4,The Isley Brothers,This Old Heart Of Mine (Is Weak For You)
29,0.852,0.761,-4.026,0.0846,0.0538,3.05e-05,0.151,0.585,121.672,174688,4,0.852,0.761,1,-4.026,1,0.0846,0.0538,3.05e-05,0.151,0.585,121.672,audio_features,6lTZctflz7IxPbWKXGJVVS,spotify:track:6lTZctflz7IxPbWKXGJVVS,https://api.spotify.com/v1/tracks/6lTZctflz7IxPbWKXGJVVS,https://api.spotify.com/v1/audio-analysis/6lTZctflz7IxPbWKXGJVVS,174688,4,Stealth,Black Heart
30,0.601,0.828,-5.268,0.0453,0.108,2.35e-06,0.106,0.618,125.945,159000,4,0.601,0.828,11,-5.268,0,0.0453,0.108,2.35e-06,0.106,0.618,125.945,audio_features,5wJcMwXuy1x6EatowWOxha,spotify:track:5wJcMwXuy1x6EatowWOxha,https://api.spotify.com/v1/tracks/5wJcMwXuy1x6EatowWOxha,https://api.spotify.com/v1/audio-analysis/5wJcMwXuy1x6EatowWOxha,159000,4,Martha Reeves & The Vandellas,Dancing In The Street - Stereo
31,0.782,0.922,-4.028,0.0497,0.00655,0.0118,0.0728,0.761,104.015,255228,4,0.782,0.922,11,-4.028,0,0.0497,0.00655,0.0118,0.0728,0.761,104.015,audio_features,2PdrcHhYBZdzP4yhkgpuhw,spotify:track:2PdrcHhYBZdzP4yhkgpuhw,https://api.spotify.com/v1/tracks/2PdrcHhYBZdzP4yhkgpuhw,https://api.spotify.com/v1/audio-analysis/2PdrcHhYBZdzP4yhkgpuhw,255228,4,The Bamboos,Hard Up
32,0.786,0.418,-11.115,0.0432,0.218,0.000158,0.134,0.94,119.101,225373,4,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,audio_features,62r1CS9zL1FL5Ilb7hLX7n,spotify:track:62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/tracks/62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/audio-analysis/62r1CS9zL1FL5Ilb7hLX7n,225373,4,Al Green,Take Me to the River
33,0.618,0.518,-5.122,0.156,0.0498,0.000286,0.131,0.466,169.966,243625,3,0.618,0.518,6,-5.122,1,0.156,0.0498,0.000286,0.131,0.466,169.966,audio_features,01H6EVBkDRIIICVpciXOHC,spotify:track:01H6EVBkDRIIICVpciXOHC,https://api.spotify.com/v1/tracks/01H6EVBkDRIIICVpciXOHC,https://api.spotify.com/v1/audio-analysis/01H6EVBkDRIIICVpciXOHC,243625,4,Joel Culpepper,Black Boy
34,0.596,0.652,-4.703,0.0483,0.305,0.000866,0.071,0.898,162.675,229720,4,0.596,0.652,1,-4.703,1,0.0483,0.305,0.000866,0.071,0.898,162.675,audio_features,6Tn9J7LOj5CuytqzORpkrz,spotify:track:6Tn9J7LOj5CuytqzORpkrz,https://api.spotify.com/v1/tracks/6Tn9J7LOj5CuytqzORpkrz,https://api.spotify.com/v1/audio-analysis/6Tn9J7LOj5CuytqzORpkrz,229720,4,Lee Fields & The Expressions,Blessed with the Best
35,0.523,0.48,-10.923,0.0492,0.214,0.0,0.0751,0.81,151.4,177667,3,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4,audio_features,0UERoCKd24PKovd4BwRzBQ,spotify:track:0UERoCKd24PKovd4BwRzBQ,https://api.spotify.com/v1/tracks/0UERoCKd24PKovd4BwRzBQ,https://api.spotify.com/v1/audio-analysis/0UERoCKd24PKovd4BwRzBQ,177667,4,Marvin Gaye,It Takes Two
36,0.511,0.769,-7.032,0.042,0.181,0.0,0.0921,0.818,129.657,160907,4,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,audio_features,2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5,160907,4,The Ronettes,Be My Baby
37,0.514,0.624,-9.287,0.0842,0.513,0.00517,0.307,0.755,166.726,163053,3,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,audio_features,3VgrSJEKBRT3xmwzpaxxEF,spotify:track:3VgrSJEKBRT3xmwzpaxxEF,https://api.spotify.com/v1/tracks/3VgrSJEKBRT3xmwzpaxxEF,https://api.spotify.com/v1/audio-analysis/3VgrSJEKBRT3xmwzpaxxEF,163053,4,Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave
